,Unnamed: 0,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
0,0,70286,1,artist,artist,6581,500117888.0,"Grilo, Sarah",Sarah Grilo,Grilo,"Argentinean, born 1921",1,1921.0,,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
1,1,70290,1,artist,artist,6583,,"Lanus, Jose Maria",Jose Maria Lanus,Lanus,"Argentinean, born 1922",1,1922.0,,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
2,2,70292,1,artist,artist,6586,500117866.0,"Ocampo, Miguel",Miguel Ocampo,Ocampo,"Argentinean, born 1922",1,1922.0,,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
3,3,104924,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
4,4,104925,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
5,5,104919,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
6,6,104923,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
7,7,107542,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
8,8,107543,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
9,9,116507,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
10,10,143116,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
11,11,143116,3,artist,author,34339,,"de Ávila, Alejandro",Alejandro de Ávila,de Ávila,Mexican,1,,,,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
12,12,143118,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
13,13,143118,3,artist,author,34339,,"de Ávila, Alejandro",Alejandro de Ávila,de Ávila,Mexican,1,,,,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
14,14,58638,1,artist,artist,4585,,"Larez, Francisco",Francisco Larez,Larez,"Venezuelan, born 1936",1,1936.0,,1926 to 1950,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
15,15,60891,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
16,16,61912,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
17,17,61913,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
18,18,61921,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
19,19,30249,1,artist,artist,3704,500059286.0,"Castellanos, Julio",Julio Castellanos,Castellanos,"Mexican, 1905 - 1947",1,1905.0,1947.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
20,20,61931,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
21,21,74837,1,artist,artist,6962,,"Lozza, Raul",Raul Lozza,Lozza,"Argentinean, born 1911",1,1911.0,2011.0,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
22,22,61985,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
23,23,61989,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
24,24,61992,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
25,25,61994,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
26,26,61995,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
27,27,163530,1,artist,artist,9698,500006317.0,"Lam, Wifredo",Wifredo Lam,Lam,"Cuban, 1902 - 1982",1,1902.0,1982.0,1901 to 1925,Cuban,Other,individual,Cuban,0.0003919775266218,CU,North America,Cuba
28,28,62001,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
29,29,62007,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
