uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,beginyear,endyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
00513eca-9795-4076-b5dd-63abfb5dd036,https://api.nga.gov/iiif/00513eca-9795-4076-b5dd-63abfb5dd036,"https://api.nga.gov/iiif/00513eca-9795-4076-b5dd-63abfb5dd036/full/!200,200/0/default.jpg",primary,0,4000,2871,640,NULL,150712,150712,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
00822cb7-0744-42c4-b68f-18219af95980,https://api.nga.gov/iiif/00822cb7-0744-42c4-b68f-18219af95980,"https://api.nga.gov/iiif/00822cb7-0744-42c4-b68f-18219af95980/full/!200,200/0/default.jpg",primary,0,4000,3405,640,NULL,33520,33520,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
015dcd20-3dda-448f-a51b-618588eaff18,https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18,"https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18/full/!200,200/0/default.jpg",primary,0,1806,4000,NULL,NULL,30476,30476,5265,artist,artist,"Mexican, 1851 - 1913",1851,1913,NULL,NULL,500032573,"José Guadalupe Posada",1,1851,1913,Mexican,individual,Mexican,0,MX,NoAm,Mexico
01f29254-5101-4ee3-96f1-813a7a3d6d4e,https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e,"https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e/full/!200,200/0/default.jpg",primary,0,2908,4000,640,NULL,64175,64175,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
022a644a-14f2-47a9-b31b-c6e58fa59b6f,https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f,"https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f/full/!200,200/0/default.jpg",primary,0,4000,3179,640,NULL,150716,150716,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0365f216-a97d-4174-bec1-21175b071231,https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231,"https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231/full/!200,200/0/default.jpg",primary,0,23610,18200,640,NULL,53085,53085,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
03896dc3-2ef2-4f73-9127-8dc1fe088d5b,https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b,"https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b/full/!200,200/0/default.jpg",primary,0,4000,3234,640,NULL,58985,58985,5449,artist,artist,"Argentinean, born 1936",1936,NULL,NULL,NULL,NULL,"Hector Saunier",1,1936,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
03a66817-93cc-40fd-9c3b-b8b27d812172,https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172,"https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172/full/!200,200/0/default.jpg",primary,0,2927,4000,640,NULL,64170,64170,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
03aee0ba-e281-49a1-9898-78fab8294897,https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897,"https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897/full/!200,200/0/default.jpg",primary,0,2882,4000,640,NULL,48424,48424,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
051a5ed9-8435-4dd3-9330-ab54cd557e35,https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35,"https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35/full/!200,200/0/default.jpg",primary,0,9461,13760,640,NULL,222831,222831,51620,artist,artist,"Brazilian, born 1968",1968,NULL,NULL,NULL,500332855,"Sandra Cinto",1,1968,NULL,Brazilian,individual,Brazilian,0,BR,SA,Brazil
0546a68a-c828-40b3-98e9-9003eb31614f,https://api.nga.gov/iiif/0546a68a-c828-40b3-98e9-9003eb31614f,"https://api.nga.gov/iiif/0546a68a-c828-40b3-98e9-9003eb31614f/full/!200,200/0/default.jpg",primary,0,10939,7197,640,NULL,174306,174306,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0558ca25-f61a-446f-96ca-a2d34a89134d,https://api.nga.gov/iiif/0558ca25-f61a-446f-96ca-a2d34a89134d,"https://api.nga.gov/iiif/0558ca25-f61a-446f-96ca-a2d34a89134d/full/!200,200/0/default.jpg",primary,0,2591,4000,640,NULL,58855,58855,5141,artist,artist,"Brazilian, 1920 - 2001",1920,2001,NULL,NULL,500469327,"Fayga Ostrower",1,1920,2001,Brazilian,individual,Brazilian,0,BR,SA,Brazil
06b5a19b-c340-4bdc-b577-949f57dbfd3c,https://api.nga.gov/iiif/06b5a19b-c340-4bdc-b577-949f57dbfd3c,"https://api.nga.gov/iiif/06b5a19b-c340-4bdc-b577-949f57dbfd3c/full/!200,200/0/default.jpg",primary,0,4000,3273,640,NULL,30309,30309,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07,https://api.nga.gov/iiif/08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07,"https://api.nga.gov/iiif/08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07/full/!200,200/0/default.jpg",primary,0,5944,7439,640,NULL,126506,126506,24991,artist,artist,"Brazilian, born 1941",1941,NULL,NULL,NULL,NULL,"Abraao Batista",1,1941,NULL,Brazilian,individual,Brazilian,0,BR,SA,Brazil
08bcd910-aa9a-4c8c-92ce-5caab654d66f,https://api.nga.gov/iiif/08bcd910-aa9a-4c8c-92ce-5caab654d66f,"https://api.nga.gov/iiif/08bcd910-aa9a-4c8c-92ce-5caab654d66f/full/!200,200/0/default.jpg",primary,0,3431,3407,640,NULL,175619,175619,41510,artist,artist,"Peruvian, born 1949",1949,NULL,NULL,NULL,500342516,"Javier Silva Meinel",1,1949,NULL,Peruvian,individual,Peruvian,0,PE,SA,Peru
09278049-4423-47f7-818f-683882d64242,https://api.nga.gov/iiif/09278049-4423-47f7-818f-683882d64242,"https://api.nga.gov/iiif/09278049-4423-47f7-818f-683882d64242/full/!200,200/0/default.jpg",primary,0,5504,6744,640,NULL,117249,117249,24991,artist,artist,"Brazilian, born 1941",1941,NULL,NULL,NULL,NULL,"Abraao Batista",1,1941,NULL,Brazilian,individual,Brazilian,0,BR,SA,Brazil
