iiifurl,iiifthumburl,accessioned,title,displayDate_created,roletype,role,forwarddisplayname,birthyear,deathyear,ulanid,artistofngaobject,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country,beginyear_artistAssigned,endyear_artistAssigned,displaydate_artistAssigned,country_artistAssigned,zipcode_artistAssigned,medium,dimensions,inscription,markings,attribution,visualBrowserClassification,parentID,isVirtual,portfolio,series,volume,watermarks,uuid,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,expanded_url
https://api.nga.gov/iiif/00513eca-9795-4076-b5dd-63abfb5dd036,"https://api.nga.gov/iiif/00513eca-9795-4076-b5dd-63abfb5dd036/full/!200,200/0/default.jpg",1.0,Un poco alegre y graciosa (Somewhat gay and graceful),"1942, printed 1974",artist,artist,Manuel Álvarez Bravo,1902.0,2002.0,500028115.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1902.0,2002.0,"Mexican, 1902 - 2002",,,gelatin silver print,"image: 17.3 x 24.2 cm (6 13/16 x 9 1/2 in.)
mount: 37.5 x 50.2 cm (14 3/4 x 19 3/4 in.)","signed by artist, lower right in graphite: M. Alvarez Bravo, lower left in graphite: 10/75","lower left of mount, embossed Strathmore seal",Manuel Álvarez Bravo,photograph,153112.0,0.0,portfolio of 15 prints,,,,00513eca-9795-4076-b5dd-63abfb5dd036,primary,0.0,4000.0,2871.0,640.0,,150712.0,150712.0,16466.0,"https://api.nga.gov/iiif/00513eca-9795-4076-b5dd-63abfb5dd036/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/00822cb7-0744-42c4-b68f-18219af95980,"https://api.nga.gov/iiif/00822cb7-0744-42c4-b68f-18219af95980/full/!200,200/0/default.jpg",1.0,Garden of Hecelchácan,1945,artist,artist,Alfredo Zalce,1908.0,2003.0,500065904.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1908.0,2003.0,"Mexican, 1908 - 2003",,,lithograph,,,,Alfredo Zalce,print,,0.0,Yucatan: no.8,Yucatan: no.8 [1946.21.182-189],,,00822cb7-0744-42c4-b68f-18219af95980,primary,0.0,4000.0,3405.0,640.0,,33520.0,33520.0,3452.0,"https://api.nga.gov/iiif/00822cb7-0744-42c4-b68f-18219af95980/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18,"https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18/full/!200,200/0/default.jpg",1.0,Calavera Maderista,,artist,artist,José Guadalupe Posada,1851.0,1913.0,500032573.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1851.0,1913.0,"Mexican, 1851 - 1913",,,relief etching (zinc),,,,José Guadalupe Posada,print,,0.0,,,,,015dcd20-3dda-448f-a51b-618588eaff18,primary,0.0,1806.0,4000.0,,,30476.0,30476.0,5265.0,"https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e,"https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e/full/!200,200/0/default.jpg",1.0,Head,1964,artist,artist,Rufino Tamayo,1899.0,1991.0,500024331.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1899.0,1991.0,"Mexican, 1899 - 1991",,,lithograph (stone) in black on white Arches paper,sheet: 31.6 x 22.9 cm (12 7/16 x 9 in.),lower right in crayon: Tamarind imp / R Tamayo; lower right verso in graphite: 1194-A,"BS: Tamarind (T.1), Zirker (T.48)",Rufino Tamayo,print,,0.0,,,,,01f29254-5101-4ee3-96f1-813a7a3d6d4e,primary,0.0,2908.0,4000.0,640.0,,64175.0,64175.0,1918.0,"https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f,"https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f/full/!200,200/0/default.jpg",1.0,Paisaje inventado (Invented landscape),"1972, printed 1974",artist,artist,Manuel Álvarez Bravo,1902.0,2002.0,500028115.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1902.0,2002.0,"Mexican, 1902 - 2002",,,gelatin silver print,"image: 28.8 x 36.3 cm (11 5/16 x 14 5/16 in.)
mount: 37.5 x 50.2 cm (14 3/4 x 19 3/4 in.)","signed by artist, lower right in graphite: M. Alvarez Bravo, lower left in graphite: 10/75",,Manuel Álvarez Bravo,photograph,153112.0,0.0,portfolio of 15 prints,,,,022a644a-14f2-47a9-b31b-c6e58fa59b6f,primary,0.0,4000.0,3179.0,640.0,,150716.0,150716.0,16466.0,"https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231,"https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231/full/!200,200/0/default.jpg",1.0,Genesis,1942,artist,artist,Matta,1911.0,2002.0,500057123.0,1.0,Chilean,individual,Chilean,0.0,CL,SA,Chile,1911.0,2002.0,"Chilean, 1911 - 2002",,,oil on canvas,"overall: 71.1 x 91.4 cm (28 x 36 in.)
framed: 77.4 x 97.8 x 3.8 cm (30 1/2 x 38 1/2 x 1 1/2 in.)",,,Matta,painting,,0.0,,,,,0365f216-a97d-4174-bec1-21175b071231,primary,0.0,23610.0,18200.0,640.0,,53085.0,53085.0,1707.0,"https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b,"https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b/full/!200,200/0/default.jpg",1.0,Lunaire,1971,artist,artist,Hector Saunier,1936.0,,,1.0,Argentinean,individual,Argentinean,0.0,AR,SA,Argentina,1936.0,,"Argentinean, born 1936",,,color etching,,,,Hector Saunier,print,,0.0,,,,,03896dc3-2ef2-4f73-9127-8dc1fe088d5b,primary,0.0,4000.0,3234.0,640.0,,58985.0,58985.0,5449.0,"https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172,"https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172/full/!200,200/0/default.jpg",1.0,Head,1964,artist,artist,Rufino Tamayo,1899.0,1991.0,500024331.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1899.0,1991.0,"Mexican, 1899 - 1991",,,lithograph (stone) in green-black on buff Arches paper,sheet: 42 x 30.3 cm (16 9/16 x 11 15/16 in.),lower right in graphite: Tamarind Impression / R Tamayo; lower right verso in graphite: 1179,"BS: Tamarind (T.1), Dyal (T.12)",Rufino Tamayo,print,,0.0,,,,,03a66817-93cc-40fd-9c3b-b8b27d812172,primary,0.0,2927.0,4000.0,640.0,,64170.0,64170.0,1918.0,"https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897,"https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897/full/!200,200/0/default.jpg",1.0,Compostion XV,1962,artist,artist,Matta,1911.0,2002.0,500057123.0,1.0,Chilean,individual,Chilean,0.0,CL,SA,Chile,1911.0,2002.0,"Chilean, 1911 - 2002",,,"color etching, soft-ground, and aquatint with embossing",,,,Matta,print,,0.0,"Suite from Come detta dentro vo significando""""","Suite from Come detta dentro vo significando""""",,,03aee0ba-e281-49a1-9898-78fab8294897,primary,0.0,2882.0,4000.0,640.0,,48424.0,48424.0,1707.0,"https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35,"https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35/full/!200,200/0/default.jpg",1.0,Untitled #4,2016,artist,artist,Sandra Cinto,1968.0,,500332855.0,1.0,Brazilian,individual,Brazilian,0.0,BR,SA,Brazil,1968.0,,"Brazilian, born 1968",,,photogravure and direct gravure,sheet: 126.37 × 86.36 cm (49 3/4 × 34 in.),,"Sunburst (Graphicstudio) chop, lower right margin.",Sandra Cinto,print,,0.0,,Chance and Necessity,,None.,051a5ed9-8435-4dd3-9330-ab54cd557e35,primary,0.0,9461.0,13760.0,640.0,,222831.0,222831.0,51620.0,"https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35/!200,200/!200,200/0/default.jpg"
