uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,created,modified,depictstmsobjectid,assistivetext,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name,objectid.1,accessioned,accessionnum,locationid,title,displaydate.1,beginyear.1,endyear.1,visualbrowsertimespan.1,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,subclassification,visualbrowserclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,customprinturl
95bc5221-79a1-49e1-b75d-67832d4cb941,https://api.nga.gov/iiif/95bc5221-79a1-49e1-b75d-67832d4cb941,"https://api.nga.gov/iiif/95bc5221-79a1-49e1-b75d-67832d4cb941/full/!200,200/0/default.jpg",primary,0,2963,4000,640.0,2011-12-28 16:21:24-05,2022-06-14 16:36:02-04,46741,,46741,1,artist,artist,2911,500082877.0,"Antunez, Nemesio",Nemesio Antunez,Antunez,"Chilean, 1918 - 1993",1,1918.0,1993.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,46741,1,1963.11.8,,Festival Andino,1954,1954,1954,1951 to 1975,color lithograph,,,,"Antunez, Nemesio",Nemesio Antunez,,Rosenwald Collection,Print,,print,,0,CG-W,,,,,2019-10-28 22:01:34.883-04,
f8a0c85d-7cfa-4e63-aeea-d67f99ea9a28,https://api.nga.gov/iiif/f8a0c85d-7cfa-4e63-aeea-d67f99ea9a28,"https://api.nga.gov/iiif/f8a0c85d-7cfa-4e63-aeea-d67f99ea9a28/full/!200,200/0/default.jpg",primary,0,5297,4171,640.0,2011-02-04 15:23:10-05,2022-05-20 14:15:08-04,46537,,46537,1,artist,artist,1831,500025126.0,"Rivera, Diego",Diego Rivera,Rivera,"Mexican, 1886 - 1957",1,1886.0,1957.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,46537,1,1963.10.62,,Chester Dale,1945,1945,1945,1926 to 1950,oil on canvas,"overall: 100.3 x 126.8 cm (39 1/2 x 49 15/16 in.)
framed: 125.1 x 151.1 cm (49 1/4 x 59 1/2 in.)",upper left: To my very dear friend Chester Dale / DiegoRivera. August 1945; lower right on book: FRENCH PAIN[TING] / from the / CHESTER DALE / COLLECTION,,"Rivera, Diego",Diego Rivera,"Commissioned 1945 by Chester Dale [1883-1962], New York; bequest 1963 to NGA.",Chester Dale Collection,Painting,,painting,,0,CMC,,,,,2019-10-28 22:01:34.883-04,
a2bc5dff-08a4-46d5-9784-bed07028d33b,https://api.nga.gov/iiif/a2bc5dff-08a4-46d5-9784-bed07028d33b,"https://api.nga.gov/iiif/a2bc5dff-08a4-46d5-9784-bed07028d33b/full/!200,200/0/default.jpg",primary,0,2926,4000,640.0,2011-12-28 16:30:34-05,2022-06-14 16:36:03-04,48425,,48425,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48425,1,1964.8.1273,,Compostion XVI,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint with embossing",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
c73c0136-d48d-4bea-89e3-d19372077470,https://api.nga.gov/iiif/c73c0136-d48d-4bea-89e3-d19372077470,"https://api.nga.gov/iiif/c73c0136-d48d-4bea-89e3-d19372077470/full/!200,200/0/default.jpg",primary,0,4000,3101,640.0,2011-12-28 16:17:29-05,2022-06-14 16:36:01-04,48413,,48413,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48413,1,1964.8.1261,,Compostion IV,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
1f1918c9-9d30-4491-a94e-e35d3ad8b891,https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891,"https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891/full/!200,200/0/default.jpg",primary,0,4000,3084,640.0,2011-12-28 16:16:40-05,2022-06-14 16:36:01-04,48410,,48410,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48410,1,1964.8.1258,,Compostion I,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint on Japan paper",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
6ce2f494-6ec3-4583-9f81-9706df4b6136,https://api.nga.gov/iiif/6ce2f494-6ec3-4583-9f81-9706df4b6136,"https://api.nga.gov/iiif/6ce2f494-6ec3-4583-9f81-9706df4b6136/full/!200,200/0/default.jpg",primary,0,4000,3120,640.0,2011-12-28 16:12:18-05,2022-06-14 16:36:00-04,48411,,48411,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48411,1,1964.8.1259,,Compostion II,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
09d76aa7-c404-4df9-b46a-f754737eedce,https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce,"https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce/full/!200,200/0/default.jpg",primary,0,4000,3125,640.0,2011-12-28 16:15:34-05,2022-06-14 16:36:01-04,48412,,48412,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48412,1,1964.8.1260,,Compostion III,1962,1962,1962,1951 to 1975,color soft-ground etching and aquatint,,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
9d101e31-4820-4998-a340-2e8a09be6927,https://api.nga.gov/iiif/9d101e31-4820-4998-a340-2e8a09be6927,"https://api.nga.gov/iiif/9d101e31-4820-4998-a340-2e8a09be6927/full/!200,200/0/default.jpg",primary,0,4000,3097,640.0,2011-12-28 16:18:59-05,2022-06-14 16:36:01-04,48414,,48414,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48414,1,1964.8.1262,,Compostion V,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
edeb1537-b0ba-44b0-9f3d-48c691a4cdba,https://api.nga.gov/iiif/edeb1537-b0ba-44b0-9f3d-48c691a4cdba,"https://api.nga.gov/iiif/edeb1537-b0ba-44b0-9f3d-48c691a4cdba/full/!200,200/0/default.jpg",primary,0,4000,3106,640.0,2011-12-28 16:20:03-05,2022-06-14 16:36:02-04,48415,,48415,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48415,1,1964.8.1263,,Compostion VI,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
913cdf51-5667-4213-a85b-3cc6096f09e4,https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4,"https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4/full/!200,200/0/default.jpg",primary,0,4000,3078,640.0,2011-12-28 16:14:47-05,2022-06-14 16:36:01-04,48416,,48416,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile,48416,1,1964.8.1264,,Compostion VII,1962,1962,1962,1951 to 1975,"color etching, soft-ground, and aquatint",,,,Matta,Matta,,Rosenwald Collection,Print,,print,,0,CG-W,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",,,2019-10-28 22:01:34.883-04,
