objectid,title,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,parentid,isvirtual,portfolio,series,sequence,width,height,maxpixels,depictstmsobjectid,assistivetext,constituentid,displayorder,ulanid,preferreddisplayname,forwarddisplayname,lastname,nationality,constituenttype,expanded_url,percent_fromCountry,Country Name,Country,Continent
43431.0,Fowl,brass with cast iron supports,"overall with base: 52.3 × 18 × 46.9 cm, 30.391 kg (20 9/16 × 7 1/16 × 18 7/16 in., 67 lb.)",,,"Nigerian 18th Century, Court of Benin","Nigerian 18th Century, Court of Benin","Obas of the Edo people, Kingdom of Benin, before 1897; [1] taken by an unknown member of the British Punitive Expedition to the Kingdom of Benin, 1897. [2] Acquired by Alexander A. Cowan [1867-1955], England/Nigeria, in or after 1897; [3] (sale, Sotheby’s, London, 5-6 July 1954, no. 82). (J.J. Klejman Gallery, New York); purchased around 30 November 1955 by Winston Guest, New York; gift 1955 to NGA.

[1] The sculpture cannot be precisely dated but is thought to have been made during the eighteenth century. It would have belonged to the ruling Oba, and then passed by descent to succeeding Obas. 

[2] According to the Sotheby’s, London, sales catalog of 5-6 July 1954, the object was “acquired by the present owner following on the Benin punitive expedition of 1897.”

[3] Cowan was a merchant from Liverpool who spent his career working for trading firms based in Nigeria. Although not known to have been a member of the British Punitive Expedition of 1897, he was possibly in Nigeria in 1897 (or shortly after) and may have come into possession of the object around that time through a member of the Expedition.
",Gift of Mr. and Mrs. Winston F. C. Guest,Sculpture,,0.0,,,1.0,8296.0,10370.0,,43431.0,,2023.0,1.0,,Nigerian 18th Century,Nigerian 18th Century,Nigerian 18th Century,Nigerian,anonymous,https://api.nga.gov/iiif/ac553bca-1808-469c-a05a-7875328983b9/full/full/0/default.jpg,1.4635145814836135e-05,Nigeria,NG,Africa
204079.0,Caged Panther,photogravure with drypoint on wove paper,"image: 35.24 × 50.48 cm (13 7/8 × 19 7/8 in.)
sheet: 50.48 × 65.72 cm (19 7/8 × 25 7/8 in.)",lower left in graphite: 7/30; lower right in graphite: W Kentridge,,"Kentridge, William",William Kentridge,"(Robert Brown Gallery, Arlington, VA); purchased by Thomas G. Klarner, Arlington, VA [1954-2014]; by inheritance, Neal Turtell, Arlington, VA; gift to NGA, 2018.","Thomas G. Klarner Collection, Gift of Neal Turtell",Print,,0.0,Zeno Writing II,Zeno Writing II,0.0,10028.0,7376.0,640.0,204079.0,,28745.0,1.0,500116197.0,"Kentridge, William",William Kentridge,Kentridge,South African,individual,https://api.nga.gov/iiif/9902cc6d-81d3-4de1-be3e-1dd79cb2dbbd/full/full/0/default.jpg,0.000175621749778,South Africa,ZA,Africa
132627.0,White Target,lithograph in black on wove paper,sheet: 71.8 x 51.1 cm (28 1/4 x 20 1/8 in.),lower left in graphite: TRIAL PROOF; lower right in graphite: J Johns 1968,blind stamp: [chop of Universal Limited Art Editions],"Johns, Jasper",Jasper Johns,"the artist, Sharon, Connecticut; acquired 2004 by the National Gallery of Art",Patrons' Permanent Fund and Special Friends of the National Gallery of Art,Print,,0.0,,,0.0,2876.0,4000.0,640.0,132627.0,,26507.0,3.0,,"Genis, Fred",Fred Genis,Genis,Australian,individual,https://api.nga.gov/iiif/9a4b2e60-5505-4766-8c3a-75dbe344d3d8/full/full/0/default.jpg,0.0003561218814943,Australia,AU,Oceania
48779.0,Tanned Hide,2-color lithograph,,,,"Tamagami, Tsuneo",Tsuneo Tamagami,,Rosenwald Collection,Print,,0.0,,,0.0,3251.0,4000.0,640.0,48779.0,,3164.0,1.0,,"Tamagami, Tsuneo",Tsuneo Tamagami,Tamagami,Japanese,individual,https://api.nga.gov/iiif/14c93846-ac93-4f1a-b616-a7f6c9dc6901/full/full/0/default.jpg,0.0016684066228913,Japan,JP,Asia
72470.0,Modern Print,color lithograph and screenprint on Special Arjomari wove paper,"image: 61 x 61 cm (24 x 24 in.)
sheet: 78.8 x 78.6 cm (31 x 30 15/16 in.)",lower left in graphite: Gemini III; lower right in graphite: rf Lichtenstein '71; lower left verso in graphite by unknown hand: RL70-363,"embossed lower right: © [Gemini G.E.L.]; stamped lower left verso in gray ink: Gemini G.E.L. / Los Angeles, Calif.","Lichtenstein, Roy",Roy Lichtenstein,"Gemini G.E.L., Los Angeles, California; acquired 1991 by the National Gallery of Art",Gift of Gemini G.E.L. and the Artist,Print,,0.0,,,0.0,4000.0,3992.0,640.0,72470.0,,50126.0,5.0,,"Dressen, Robert",Robert Dressen,Dressen,American,individual,https://api.nga.gov/iiif/ae4712b9-ca98-42c9-9443-01acb4f673f6/full/full/0/default.jpg,0.709936288331886,United States,US,North America
142127.0,Truman Capote,gelatin silver print,overall: 17.46 x 25.4 cm (6 7/8 x 10 in.),"on verso, by unknown hand, upper right in graphite: Truman-Capote; by unknown hand, center in graphite crossed out: 61539; by unknown hand, center in orange crayon: 53.5; by unknown hand, center left in graphite crossed out: SS843; center stamped in blue ink in a box: CREDIT MAGNUM PHOTOS INC. 17 [East 64th] Street [New York 21, N.Y.]; center stamped in black ink in a box over blue ink stamp: DAVID SEYMOUR-MANGUM Photos; by unknown hand, center in graphite: 63068",,"Seymour, David",David Seymour (Chim),"Ben Shneiderman, Bethesda, MD; gift to NGA, 2008.",Gift of Ben Shneiderman,Photograph,,0.0,,,0.0,4000.0,2693.0,640.0,142127.0,,31211.0,1.0,500069009.0,"Seymour, David",David Seymour,Seymour,American,individual,https://api.nga.gov/iiif/24b4d1da-d11d-4c0d-a7be-778b169a943f/full/full/0/default.jpg,0.709936288331886,United States,US,North America
4663.0,"The Gorbals, Glasgow",graphite,overall: 19 x 27.9 cm (7 1/2 x 11 in.),"lower right in graphite: Muirhead Bone; in later hand, lower right verso in graphite: B-4000 / A5815",,"Bone, Muirhead, Sir",Sir Muirhead Bone,LJR (Lugt Supp.1760b),Rosenwald Collection,Drawing,,0.0,,,0.0,4000.0,2719.0,640.0,4663.0,,2718.0,2.0,500325128.0,"Rosenwald, Lessing Julius",Lessing Julius Rosenwald,Rosenwald,American,individual,https://api.nga.gov/iiif/3b839fa8-b422-403a-b705-c1c997021607/full/full/0/default.jpg,0.709936288331886,United States,US,North America
168522.0,"Televisions, Ponte City, Johannesburg",light box with color transparency,overall: 388 × 128.27 × 17.15 cm (152 3/4 × 50 1/2 × 6 3/4 in.),,,"Subotzky, Mikhael, Patrick Waterhouse","Mikhael Subotzky, Patrick Waterhouse","(The Goodman Gallery, Johannesburg, South Africa); NGA purchase, 2015.",Alfred H. Moses and Fern M. Schad Fund,Sculpture,,0.0,,,0.0,1197.0,3421.0,640.0,168522.0,,38771.0,1.0,500356108.0,"Subotzky, Mikhael",Mikhael Subotzky,Subotzky,South African,individual,https://api.nga.gov/iiif/593f487f-2cde-49a4-a7cc-d61130b9473e/full/full/0/default.jpg,0.000175621749778,South Africa,ZA,Africa
3714.0,Christ before Herod,"woodcut, hand-colored in red lake, green, yellow, tan, and orange",,,,German 15th Century,German 15th Century,"Martin Aufhäuser [1875-1944], Munich, Holland, and Los Angeles; [1] purchased 19 August 1939 by Lessing J. Rosenwald, Jenkintown, PA (L1760c and L1932d); gift to NGA, 1943.


[1] For more information on Aufhäuser's collection, see Gallery Archives, National Gallery of Art, Rosenwald Papers, Box 9; Lessing J. Rosenwald, _Recollections of a Collector_, Jenkintown, Pa, 1976, pp. 14-18, and Richard S. Field, _Fifteenth Century Woodcuts and Metalcuts_, Washington, D.C., 1965, Preface (np).


",Rosenwald Collection,Print,,0.0,Five Scenes from a Passion,Five Scenes from a Passion,0.0,2674.0,3298.0,,3714.0,,2834.0,1.0,,German 15th Century,German 15th Century,German 15th Century,German,anonymous,https://api.nga.gov/iiif/27dac85b-217a-43f6-84be-7f498c7f56d4/full/full/0/default.jpg,0.0407637594762569,Germany,DE,Europe
204496.0,Henry Miercken,mezzotint and engraving in black on wove paper mounted to brown wove paper,"image (irregular): 5.56 × 5.56 cm (2 3/16 × 2 3/16 in.)
sheet (trimmed to plate): 6.83 × 6.19 cm (2 11/16 × 2 7/16 in.)",lower center in plate: Drawn & engrd. by St. Memin Philadela.; lower center mount in black ink by unknown hand: Hy. Miercken.,,"Saint-Mémin, Charles B. J. Févret de",Charles B. J. Févret de Saint-Mémin,"the artist, Dijon, France; Léon Victor Raoul Leclerc, Vicomte de Juigné (the artist's nephew), Dijon, France, 1852; (Henry Stevens, London, England, c. 1859); William W. Corcoran, Washington, DC, c. 1874; Corcoran Gallery of Art, Washington, DC, 1875; acquired 2015 by the National Gallery of Art",Corcoran Collection (Gift of William Wilson Corcoran),Print,204483.0,0.0,Saint-Mémin Collection of Portraits,Saint-Mémin Collection of Portraits,0.0,4218.0,5211.0,,204496.0,,2729.0,1.0,500019413.0,"Saint-Mémin, Charles B. J. Févret de",Charles B. J. Févret de Saint-Mémin,Saint-Mémin,French,individual,https://api.nga.gov/iiif/398c2f15-f073-4715-bd68-8be54cff29e7/full/full/0/default.jpg,0.1018996419267657,France,FR,Europe
