index,expanded_url,title,forwarddisplayname,medium,sequence,width,height,maxpixels,depictstmsobjectid,assistivetext,objectid,displayorder,constituentid,ulanid,preferreddisplayname,lastname,nationality,constituenttype,percent_fromArtist,Country,Continent,Country Name,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,parentid,isvirtual,portfolio,series,file_name,directory,file_downloaded,percent_fromCountry,image_fp,old_file_name,subfolder
0,https://api.nga.gov/iiif/95bc5221-79a1-49e1-b75d-67832d4cb941/full/full/0/default.jpg,Festival Andino,Nemesio Antunez,color lithograph,0.0,2963.0,4000.0,640.0,46741.0,,46741.0,1.0,2911.0,500082877.0,"Antunez, Nemesio",Antunez,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,"Antunez, Nemesio",Nemesio Antunez,,Rosenwald Collection,Print,,0.0,,,Festival_Andino_Antunez_46741.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Festival_Andino.jpg,Festival_Andino.jpg,train
1,https://api.nga.gov/iiif/f8a0c85d-7cfa-4e63-aeea-d67f99ea9a28/full/full/0/default.jpg,Chester Dale,Diego Rivera,oil on canvas,0.0,5297.0,4171.0,640.0,46537.0,,46537.0,1.0,1831.0,500025126.0,"Rivera, Diego",Rivera,Mexican,individual,0.0024171947475011,MX,North America,Mexico,"overall: 100.3 x 126.8 cm (39 1/2 x 49 15/16 in.)
framed: 125.1 x 151.1 cm (49 1/4 x 59 1/2 in.)",upper left: To my very dear friend Chester Dale / DiegoRivera. August 1945; lower right on book: FRENCH PAIN[TING] / from the / CHESTER DALE / COLLECTION,,"Rivera, Diego",Diego Rivera,"Commissioned 1945 by Chester Dale [1883-1962], New York; bequest 1963 to NGA.",Chester Dale Collection,Painting,,0.0,,,Chester_Dale_Rivera_46537.jpg,../latinamerican-2-imagefolder-split/,True,0.6073446327683616,../latinamerican-2-imagefolder-split/train/Chester_Dale.jpg,Chester_Dale.jpg,train
2,https://api.nga.gov/iiif/a2bc5dff-08a4-46d5-9784-bed07028d33b/full/full/0/default.jpg,Compostion XVI,Matta,"color etching, soft-ground, and aquatint with embossing",0.0,2926.0,4000.0,640.0,48425.0,,48425.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_XVI_Matta_48425.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_XVI.jpg,Compostion_XVI.jpg,train
3,https://api.nga.gov/iiif/c73c0136-d48d-4bea-89e3-d19372077470/full/full/0/default.jpg,Compostion IV,Matta,"color etching, soft-ground, and aquatint",0.0,4000.0,3101.0,640.0,48413.0,,48413.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_IV_Matta_48413.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_IV.jpg,Compostion_IV.jpg,train
4,https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891/full/full/0/default.jpg,Compostion I,Matta,"color etching, soft-ground, and aquatint on Japan paper",0.0,4000.0,3084.0,640.0,48410.0,,48410.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_I_Matta_48410.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/test/Compostion_I.jpg,Compostion_I.jpg,test
5,https://api.nga.gov/iiif/6ce2f494-6ec3-4583-9f81-9706df4b6136/full/full/0/default.jpg,Compostion II,Matta,"color etching, soft-ground, and aquatint",0.0,4000.0,3120.0,640.0,48411.0,,48411.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_II_Matta_48411.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_II.jpg,Compostion_II.jpg,train
6,https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce/full/full/0/default.jpg,Compostion III,Matta,color soft-ground etching and aquatint,0.0,4000.0,3125.0,640.0,48412.0,,48412.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_III_Matta_48412.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_III.jpg,Compostion_III.jpg,train
7,https://api.nga.gov/iiif/9d101e31-4820-4998-a340-2e8a09be6927/full/full/0/default.jpg,Compostion V,Matta,"color etching, soft-ground, and aquatint",0.0,4000.0,3097.0,640.0,48414.0,,48414.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_V_Matta_48414.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_V.jpg,Compostion_V.jpg,train
8,https://api.nga.gov/iiif/edeb1537-b0ba-44b0-9f3d-48c691a4cdba/full/full/0/default.jpg,Compostion VI,Matta,"color etching, soft-ground, and aquatint",0.0,4000.0,3106.0,640.0,48415.0,,48415.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_VI_Matta_48415.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/test/Compostion_VI.jpg,Compostion_VI.jpg,test
9,https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4/full/full/0/default.jpg,Compostion VII,Matta,"color etching, soft-ground, and aquatint",0.0,4000.0,3078.0,640.0,48416.0,,48416.0,1.0,1707.0,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,,,,Matta,Matta,,Rosenwald Collection,Print,,0.0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_VII_Matta_48416.jpg,../latinamerican-2-imagefolder-split/,True,0.059322033898305086,../latinamerican-2-imagefolder-split/train/Compostion_VII.jpg,Compostion_VII.jpg,train
