uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,created,modified,depictstmsobjectid,assistivetext,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
015dcd20-3dda-448f-a51b-618588eaff18,https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18,"https://api.nga.gov/iiif/015dcd20-3dda-448f-a51b-618588eaff18/full/!200,200/0/default.jpg",primary,0,1806,4000,,2012-01-20 18:32:57-05,2022-06-15 17:22:10-04,30476,,30476,1,artist,artist,5265,500032573,"Posada, José Guadalupe",José Guadalupe Posada,Posada,"Mexican, 1851 - 1913",1,1851,1913,1851 to 1875,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
01f29254-5101-4ee3-96f1-813a7a3d6d4e,https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e,"https://api.nga.gov/iiif/01f29254-5101-4ee3-96f1-813a7a3d6d4e/full/!200,200/0/default.jpg",primary,0,2908,4000,640,2012-01-23 12:06:07-05,2022-06-14 16:39:27-04,64175,,64175,1,artist,artist,1918,500024331,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899,1991,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
022a644a-14f2-47a9-b31b-c6e58fa59b6f,https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f,"https://api.nga.gov/iiif/022a644a-14f2-47a9-b31b-c6e58fa59b6f/full/!200,200/0/default.jpg",primary,0,4000,3179,640,2011-04-14 16:44:44-04,2022-05-19 13:02:05-04,150716,,150716,1,artist,artist,16466,500028115,"Álvarez Bravo, Manuel",Manuel Álvarez Bravo,Álvarez Bravo,"Mexican, 1902 - 2002",1,1902,2002,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0365f216-a97d-4174-bec1-21175b071231,https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231,"https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231/full/!200,200/0/default.jpg",primary,0,23610,18200,640,2018-09-14 12:17:24-04,2022-06-28 22:22:59.13-04,53085,,53085,1,artist,artist,1707,500057123,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911,2002,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
03896dc3-2ef2-4f73-9127-8dc1fe088d5b,https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b,"https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b/full/!200,200/0/default.jpg",primary,0,4000,3234,640,2012-01-19 15:19:44-05,2022-06-14 16:38:31-04,58985,,58985,1,artist,artist,5449,,"Saunier, Hector",Hector Saunier,Saunier,"Argentinean, born 1936",1,1936,,1926 to 1950,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
03a66817-93cc-40fd-9c3b-b8b27d812172,https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172,"https://api.nga.gov/iiif/03a66817-93cc-40fd-9c3b-b8b27d812172/full/!200,200/0/default.jpg",primary,0,2927,4000,640,2012-01-23 12:50:29-05,2022-06-14 16:39:35-04,64170,,64170,1,artist,artist,1918,500024331,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899,1991,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
03aee0ba-e281-49a1-9898-78fab8294897,https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897,"https://api.nga.gov/iiif/03aee0ba-e281-49a1-9898-78fab8294897/full/!200,200/0/default.jpg",primary,0,2882,4000,640,2011-12-28 16:29:42-05,2022-06-14 16:36:03-04,48424,,48424,1,artist,artist,1707,500057123,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911,2002,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
051a5ed9-8435-4dd3-9330-ab54cd557e35,https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35,"https://api.nga.gov/iiif/051a5ed9-8435-4dd3-9330-ab54cd557e35/full/!200,200/0/default.jpg",primary,0,9461,13760,640,2021-06-03 15:35:55-04,2022-06-10 16:25:58-04,222831,,222831,1,artist,artist,51620,500332855,"Cinto, Sandra",Sandra Cinto,Cinto,"Brazilian, born 1968",1,1968,,1951 to 1975,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
0546a68a-c828-40b3-98e9-9003eb31614f,https://api.nga.gov/iiif/0546a68a-c828-40b3-98e9-9003eb31614f,"https://api.nga.gov/iiif/0546a68a-c828-40b3-98e9-9003eb31614f/full/!200,200/0/default.jpg",primary,0,10939,7197,640,2018-10-30 16:21:38-04,2022-05-25 11:28:54-04,174306,,174306,1,artist,artist,3845,500021586,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934,2017,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0558ca25-f61a-446f-96ca-a2d34a89134d,https://api.nga.gov/iiif/0558ca25-f61a-446f-96ca-a2d34a89134d,"https://api.nga.gov/iiif/0558ca25-f61a-446f-96ca-a2d34a89134d/full/!200,200/0/default.jpg",primary,0,2591,4000,640,2011-12-28 16:07:00-05,2022-06-14 16:35:59-04,58855,,58855,1,artist,artist,5141,500469327,"Ostrower, Fayga",Fayga Ostrower,Ostrower,"Brazilian, 1920 - 2001",1,1920,2001,1901 to 1925,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
